State,Interval,Rate
AL,68.0 to 92.4,69.6
AK,55.6 to 61.2,57.2
AZ,29.0 to 55.5,49.4
AR,68.0 to 92.4,75.1
CA,29.0 to 55.5,44.2
CO,29.0 to 55.5,44.9
CT,55.6 to 61.2,61.0
DE,61.3 to 67.9,67.9
DC,55.6 to 61.2,61.2
FL,55.6 to 61.2,61.2
GA,61.3 to 67.9,66.7
HI,29.0 to 55.5,44.9
ID,29.0 to 55.5,51.0
IL,61.3 to 67.9,65.8
IN,68.0 to 92.4,69.8
IA,61.3 to 67.9,61.7
KS,55.6 to 61.2,59.0
KY,68.0 to 92.4,92.4
LA,68.0 to 92.4,70.1
ME,68.0 to 92.4,74.7
MD,55.6 to 61.2,56.1
MA,61.3 to 67.9,64.8
MI,61.3 to 67.9,65.1
MN,29.0 to 55.5,54.7
MS,68.0 to 92.4,74.5
MO,68.0 to 92.4,75.1
MT,29.0 to 55.5,53.2
NE,55.6 to 61.2,59.1
NV,Data not available&#8225;,Data not available
NH,61.3 to 67.9,64.0
NJ,55.6 to 61.2,56.3
NM,29.0 to 55.5,40.6
NY,55.6 to 61.2,60.3
NC,61.3 to 67.9,67.7
ND,29.0 to 55.5,55.1
OH,61.3 to 67.9,66.8
OK,68.0 to 92.4,69.3
OR,55.6 to 61.2,55.9
PA,61.3 to 67.9,63.9
RI,68.0 to 92.4,69.9
SC,61.3 to 67.9,67.0
SD,29.0 to 55.5,54.6
TN,68.0 to 92.4,74.9
TX,29.0 to 55.5,55.4
UT,29.0 to 55.5,29.9
VT,61.3 to 67.9,62.4
VA,55.6 to 61.2,60.6
WA,55.6 to 61.2,58.8
WV,68.0 to 92.4,77.1
WI,55.6 to 61.2,58.9
WY,29.0 to 55.5,48.0
