	Age	All Races Rate	White Rate	Black Rate	Asian/Pacific Islander Rate	American Indian/Alaska Native Rate	Hispanic Rate
	<1	~	~	~	~	~	~
	1-4	~	~	~	~	~	~
	5-9	~	~	~	~	~	~
	10-14	~	~	~	~	~	~
	15-19	~	~	~	~	~	~
	20-24	0.3	0.3	~	~	~	~
	25-29	0.6	0.5	~	~	~	~
	30-34	1.1	0.9	2.4	~	~	~
	35-39	2.7	2.6	3.4	~	~	1.6
	40-44	7.1	7.0	8.6	5.2	~	2.5
	45-49	22.7	21.9	31.6	14.6	~	7.3
	50-54	58.3	56.4	82.8	28.6	26.4	21.1
	55-59	108.4	103.9	159.0	55.3	74.1	42.5
	60-64	175.3	170.4	245.2	93.7	99.6	80.4
	65-69	291.5	289.6	359.0	161.4	190.3	150.5
	70-74	416.2	418.8	471.3	221.4	296.1	224.1
	75-79	501.9	502.6	562.4	328.9	327.1	311.2
	80-84	539.4	539.0	568.3	408.7	328.8	358.6
	85+	444.3	441.0	454.3	393.7	242.3	298.1
